,Raw Job Description
38,"- Tackle diverse and challenging projects that directly influence business strategy and customer outcomes.
- Collaborate with a supportive, forward-thinking team that thrives on innovation.
- Expand your technical skillset while helping shape the future of data-driven decision-making.

Our people are customer obsessed. They prioritise the needs and satisfaction of the customer above all else.  Our mindset fosters innovation and creates strong, lasting customer relationships as we strive to be the most customer centric company in Australia and New Zealand.

As a Data Analyst, you’ll work closely with the Home Ownership Data Analytics team, who are doubling down on delivering exceptional customer and product outcomes.

Each day, you’ll go above and beyond to: 

- Design, prototype, visualise, test, and deploy end-to-end analytics solutions based on business needs.
- Deliver insights that create tangible value for our business partners and customers.
- Implement and validate minor changes to ensure data accuracy and integrity.
- Maintain and support data models, SQL ETLs, and Power BI dashboards.
- Partner with NAB’s Home Ownership business to drive platform excellence and customer success.

We’re looking for the best and brightest to deliver the best for our customers. You’ll need: 

- Demonstrated experience as a Data Analyst in complex business environments.
- Proficiency in data visualisation tools such as Power BI or Tableau.
- Strong SQL skills and experience working with data marts or cloud-based data platforms.
- Ability to analyse and present data in a clear, meaningful way.
- Strong communication skills, with the ability to explain complex concepts in a simple way. Proactivity, curiosity, and eagerness to learn.
- A degree in Business, Data Analytics, Computer Science, Statistics, Information Systems, or a related field.

A diverse and inclusive workplace works better for everyone

We know that our people make us who we are. That’s why we have built a culture of equity and respect - where everyone feels valued and appreciated for being their authentic selves. In partnership with our multiple Employee Resource Groups (ERGs), we continue to foster an inclusive environment, where all NAB colleagues’ unique backgrounds and identities are understood, respected and celebrated. We are committed to providing an environment where you can work your way.

For details on the recruitment process, and accessibility, or alternate methods to apply for this role, please visit https://www.nab.com.au/about-us/careers/apply-for-job . To discuss adjustment requirements, please contact the NAB Careers team via nab.careers@nab.com.au (please reference job number) or visit our Careers page through the link above for other contact options.

Join NAB

If you think this role is the right fit for you, we would love to hear from you. Please note candidate screening and interviews may be conducted prior to the closing date of the job advert. Unsolicited CVs from agencies will not be accepted."
39,"- Finance Analyst - Broad role, supportive culture
- $95-115k + super
- Inner Suburbs, diverse portfolio of business'The Company
An exciting opportunity has arisen for a motivated accounting professional to join a growing and dynamic enterprise dedicated to its core values. This organization prioritizes Conservation, Green Technology, Sustainability, and Environmental Clean-up, making it an ideal employer for those who want their work to align with meaningful and impactful causes. At this company, your contributions will directly support initiatives that strive to create a better future for the planet.This is a newly established role within a business that is rapidly expanding and ambitious about achieving significant growth in the short term. Joining this team means working closely with passionate founders, senior leaders, and executives committed to your professional development. This role not only promises a chance to thrive within a fast-paced organisation but also allows you to work in a values-driven environment that genuinely contributes to a sustainable world. Why Join Us?
If you've been looking for a role that's more than just a job, this opportunity stands out. At this company:
- Core Values with a Purpose: You'll be part of an organisation whose foundation is built upon environmental stewardship and innovation, meaning your expertise will directly contribute to initiatives making the world a better place.
- Work Closely with Leaders: Collaboration will happen daily with visionary founders and senior management, offering unparalleled insight into leadership and strategic growth.
- Professional Growth Opportunities: Ambitions for short-term business growth ensure that your career trajectory will align with an expanding company focused on nurturing its employees.
- Be Part of Innovation: Surrounded by dynamic professionals and cutting-edge technology, you'll empower change and see the immediate impact of your contributions. The Role
Reporting to the Finance Manager, this role will be essential in driving financial insights and supporting business strategy through comprehensive financial analysis. Responsibilities include:
- Developing and maintaining dynamic financial models and dashboards for evaluating business and investment performance.
- Collaborating with senior management to deliver streamlined budget forecasts and timely analysis.
- Conducting Scenario Planning and ""what-if"" analyses, assessing the impact of financial and strategic decision-making.
- Preparing cash-flow forecasts and analysing operational decisions.
- Reviewing key data metrics to produce profitability analysis, including variance commentary for both forecasts and annual budgets.
- Submitting and reconciling monthly market forecasts, ensuring financial accuracy and timeliness.
- Supporting month-end and year-end closings, including reconciliations and general reporting.
- Liaising with local finance teams to ensure error-free forecast submissions and adherence to deadlines.
- Preparing key deliverables and completing ad hoc analysis projects as required. Your Profile
To excel in this role, you'll need:
- Full CA/CPA qualification with a minimum of 4 years' analytical or general accounting experience.
- Proven expertise in Excel and proficiency with data analysis tools to enable insightful reporting.
- Excellent interpersonal skills to partner effectively across diverse stakeholders and teams.
- An eagerness to learn, adapt quickly, and thrive in an ambitious, fast-paced environment. Apply Today
If you're ready to take your career to the next level, click the apply button to submit your resume.Join us in shaping a world where your work contributes to tangible, sustainable impact. Reference No. 06810-0013179815SG
By clicking 'apply', you give your express consent that Robert Half may use your personal information to process your job application and to contact you from time to time for future employment opportunities. For further information on how Robert Half processes your personal information and how to access and correct your information, please read the Robert Half privacy notice: https://www.roberthalf.com/au/en/privacy. Please do not submit any sensitive personal data to us in your resume (such as government ID numbers, ethnicity, gender, religion, marital status or trade union membership) as we do not collect your sensitive personal data at this time."
40,"At ASIC, you can be the change that ensures a fair, strong and efficient financial system for the benefit of all Australians. Contribute to delivering on ASIC's purpose, vision, and strategic priorities to help maintain the integrity of the financial system and protect consumers from harm.

ASIC is seeking an Analyst – Business Engagement & Enquiries to join the Digital Team. This role has a strong customer service focus combined with general troubleshooting skills and acts as a liaison point between business units, project teams, and IT to resolve customer issues.

- Sydney, Melbourne or Perth. Open to other locations
- $81,396 - $85,659 (depending on experience) + 15.4% superannuation
- Permanent Position
- Applications close at 11:59pm AEDT, Thursday 9 October 2025  

The team 

The Digital team supports business systems and processes that build excellence in regulatory operations.

The team provides the user-centred design service and manages the ongoing development of the key platform underpinning the regulatory workflows across ASIC – the ASIC CRM, ASIC Regulatory Portal, ASIC Search and related data and document repositories, as well as ASIC's key externally facing digital channels such as the corporate website.

The role

The purpose of the Analyst within the Digital team is to manage enquiries related to OneASIC Regulatory systems, providing expert troubleshooting support.

Responsibilities Will Include

- Act as liaison between business units, project teams, and IT to resolve customer issues
- Efficiently resolve or escalate issues with strong verbal communication
- Document technical issues and solutions clearly
- Manage external stakeholder interactions via the ASIC Regulatory Portal
- Support stakeholder training and update learning materials
- Drive process improvement and innovation
- Assist with system enhancements, new products, and releases
- Create clear, user-friendly release communications for non-technical audiences
- Build and maintain relationships with subject matter experts and stakeholders

About You

A successful applicant should possess many or all of the following: 

- Relevant degree or experience in customer and stakeholder engagement
- Strong stakeholder management and influencing skills
- Excellent communication and issue resolution abilities
- Skilled in multitasking and prioritising in fast-paced settings
- Understanding of business processes and user reviews
- Experience analysing database information and providing solutions
- Effective problem-solving and issue triage skills
- Team-oriented with strong collaboration experience
- Proficient in Microsoft Dynamics CRM, SharePoint, and similar systems
- Strong customer service and issue resolution skills
- Efficient task management with timely, quality outcomes

View the position description for more information or click ‘apply' to start your application. 

Applications close at 11:59pm AEDT, Thursday 9 October 2025 

About ASIC

ASIC's remit is one of the broadest of regulators across the world. ASIC regulates corporations, markets, financial services and consumer credit and monitors and promotes market integrity and consumer protection in the Australian financial system. Through our enforcement work, we hold to account those who contravene the law, working to achieve strong outcomes that address the greatest consumer and investor harms.

ASIC is committed to providing a diverse and inclusive workplace where the very best talent in Australia chooses to work. Indigenous Australians are encouraged to apply as well as applicants from all backgrounds and with different abilities.

We Offer a Range Of Employee Benefits Including

- Attractive superannuation
- Additional leave entitlements
- 50/50 hybrid work-from home model
- Flexible work arrangements
- Assistance for study and professional development

Click here to view ASIC's salary and benefits guide.

To read more about ASIC, you can visit our website or review our Corporate Plan.

To work with us, you need to be an Australian citizen and be prepared to complete an ASIC Suitability and Baseline Assessment."
41,"Are you passionate about uncovering insights hidden within complex datasets? As a Data Analyst at Easygo, you’ll play a vital role in transforming raw data into actionable intelligence that drives decision-making across our business. This is your chance to shape the future of online entertainment by empowering teams with data-driven strategies and solutions.
What's in it for you?
At Easygo, data sits at the heart of every decision we make. In this role, you’ll have the opportunity to work with large-scale, real-time datasets in a fast-paced and innovative environment. You’ll gain exposure to advanced tools and technologies, collaborate with cross-functional teams, and see your work directly influence business growth and strategy.
Your role with us:
As a Data Analyst at Easygo, you’ll transform raw data into meaningful insights that drive smarter business decisions. You’ll design and automate reports, build dashboards, and dive deep into analysis to uncover trends that shape strategy across compliance, operations, and gaming. Collaborating closely with the Business Intelligence team and stakeholders across the business, you’ll play a key role in making data more accessible, reliable, and impactful.
Who are we?
At Easygo we proudly stand as a prominent service provider to a powerhouse of brands within the entertainment industry, including Stake.com, Kick.com and Twist Gaming. 
Stake is the world's largest crypto casino, and leads the industry with a seamless online casino and sportsbook experience.
Level up your online entertainment with Kick.com, the vibrant live-streaming platform, which connects millions of gamers and content creators worldwide.
All alongside the innovative game design studio, Twist Gaming, which takes creativity to new heights by crafting cutting-edge and captivating games. 
Our commitment to placing our clients and their communities' entertainment at the forefront of everything we do, has solidified us as the ultimate online service provider for entertainment companies.
Headquartered in the beautiful city of Melbourne, our growth has been remarkable. From humble beginnings to a thriving workforce of 600+, we've expanded not only in numbers but in ambition. There really is something for everyone here, whether you work in Tech, Marketing, Operations, Mathematics or Design, we are sure to have something for everyone.
Click play, on your career today!
What you will do: 

- Collect, clean, and analyse large, complex datasets to uncover actionable insights.
- Build and maintain reusable data models that support reporting and analytics at scale.
- Design and automate reports that help stakeholders make informed business decisions.
- Create and manage interactive dashboards that provide visibility into performance and trends.
- Identify and resolve data quality issues, ensuring accuracy and reliability.
- Translate raw data into clear insights that guide strategy across Compliance, Operations, and Gaming.
- Respond to ad-hoc analysis requests from cross-functional teams with clear and concise outputs.
- Contribute to the improvement of data workflows, documentation, and processes.
- Support the development of scalable data integration and visualisation solutions.
- Stay curious and up to date with industry trends, tools, and technologies to continuously enhance our data capabilities.
What you will bring: 

- 2–3 years’ experience in data analysis, statistical modelling, or predictive analytics.
- Strong SQL and Python skills for manipulating, analysing, and interpreting data.
- Hands-on experience with data visualisation tools (e.g. Tableau) to build clear, impactful dashboards.
- Proficiency in ETL processes and tools, such as Databricks, AWS Glue, or equivalent technologies.
- Ability to explain technical findings in a simple, compelling way to non-technical stakeholders.
- Familiarity with machine learning concepts or applications (a bonus, but not essential).
- A proactive mindset comfortable working in a fast-paced environment with shifting priorities.
- A passion for turning complex data into insights that influence big decisions.
Bonus points if you also have:

- Sports & Gambling industry knowledge is advantageous
- Cryptocurrency industry knowledge would be advantageous
- Proficient with Google Suite (Drive, Spreadsheets, Docs) as well as Slack and Jira
Some of the perks of working with us:
Office Perks & Environment

- In-house baristas serving free coffee, tea, fresh juices, and smoothies
- Daily catered breakfast and regular company-wide events
- Snack walls and drink fridges on every floor
- Fun /modern office spaces with pool tables, table tennis, gaming consoles, and an F1 simulator
Wellbeing & Personal Development

- Access to our Employee Assistance Program for you and your loved ones
- 9,000+ courses on our Learning & Development platform
- One paid volunteer day per year
- Weekly Wednesday massages by professional masseuses
Team Connection & Rewards

- Team budgets for lunches and activities to celebrate achievements
- Social sports teams and participation in Corporate Games
- Easygo branded swag
- Birthday and work anniversary gift vouchers, plus a chance to win prizes 
Events & Experiences

- Company-wide talks with key partners such as Everton FC and Team Sauber in Formula 1
- Office visits from big-name streamers
- Meet Ambassadors like Alex Pereira, Israel Adesanya
- Ballots for exclusive tickets to events like Formula 1, UFC, and more sporting and music events
We believe that the unique contributions of everyone at Easygo are the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experiences, we never discriminate on the basis of race, religion, nationality, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. 
We’re a global team of dreamers, creators, and game-changers from every walk of life, united by a passion for entertainment that inspires the world.
We believe that the best ideas come from different perspectives, so we actively welcome and champion talent from all backgrounds, cultures, identities, and experiences. Whether you're just starting out or bringing decades of experience, your unique voice matters here."
42,"Overview

The Graduate Research Analyst is a pivotal role within Canstar’s Research Department, tailored for graduates eager to delve into the financial services industry. Reporting to the Ratings Manager, this role focuses on contributing to the development and delivery of Canstar’s renowned star ratings and industry awards. This position requires strong analytical skills, adaptability, and collaboration, offering a solid foundation for building knowledge in financial products, market analytics, and consumer trends.

Key Responsibilities

Star Ratings and Awards Management

- Assist in the design and implementation of Canstar’s Star Ratings and Awards, applying robust methodologies and maintaining consistency with industry standards.
- Manage star rating projects and other research tasks, ensuring timely and quality delivery.
- Implement quality assurance processes to ensure accuracy and comparability in ratings and calculations.
- Participate in research projects on behalf of financial institutions, government departments, and other related organisations.
- Support client engagement by discussing market developments, responding to rating results, and providing research insights.

General Duties

- Develop and maintain an understanding of consumer behaviour, product features, pricing trends, and regulatory issues such as disclosure and competition.
- Document procedures and maintain resources to support recurring and ad hoc research requests.
- Proactively identify opportunities to improve processes, methodologies, and efficiencies in ratings and awards delivery.
- Contribute to cross-functional projects by supplying analysis, insights, and solutions to other teams across the business.

Communication

- Liaise with both technical and non-technical stakeholders, translating complex concepts into clear, actionable insights.
- Collaborate with Editorial, Media, Product, and other teams to ensure alignment and effective communication of research outcomes.
- Participate in internal discussions and presentations relating to methodology, market trends, and award results.

Other Duties

- Remain open to taking on additional responsibilities or adapting to changes in job requirements.
- Engage in ongoing professional development and learning opportunities in the finance and research sectors."
43,"- Tackle diverse and challenging projects that directly influence business strategy and customer outcomes.
- Collaborate with a supportive, forward-thinking team that thrives on innovation.
- Expand your technical skillset while helping shape the future of data-driven decision-making.

Our people are customer obsessed. They prioritise the needs and satisfaction of the customer above all else.  Our mindset fosters innovation and creates strong, lasting customer relationships as we strive to be the most customer centric company in Australia and New Zealand.

As a Data Analyst, you’ll work closely with the Home Ownership Data Analytics team, who are doubling down on delivering exceptional customer and product outcomes.

Each day, you’ll go above and beyond to: 

- Design, prototype, visualise, test, and deploy end-to-end analytics solutions based on business needs.
- Deliver insights that create tangible value for our business partners and customers.
- Implement and validate minor changes to ensure data accuracy and integrity.
- Maintain and support data models, SQL ETLs, and Power BI dashboards.
- Partner with NAB’s Home Ownership business to drive platform excellence and customer success.

We’re looking for the best and brightest to deliver the best for our customers. You’ll need: 

- Demonstrated experience as a Data Analyst in complex business environments.
- Proficiency in data visualisation tools such as Power BI or Tableau.
- Strong SQL skills and experience working with data marts or cloud-based data platforms.
- Ability to analyse and present data in a clear, meaningful way.
- Strong communication skills, with the ability to explain complex concepts in a simple way. Proactivity, curiosity, and eagerness to learn.
- A degree in Business, Data Analytics, Computer Science, Statistics, Information Systems, or a related field.

A diverse and inclusive workplace works better for everyone

We know that our people make us who we are. That’s why we have built a culture of equity and respect - where everyone feels valued and appreciated for being their authentic selves. In partnership with our multiple Employee Resource Groups (ERGs), we continue to foster an inclusive environment, where all NAB colleagues’ unique backgrounds and identities are understood, respected and celebrated. We are committed to providing an environment where you can work your way.

For details on the recruitment process, and accessibility, or alternate methods to apply for this role, please visit https://www.nab.com.au/about-us/careers/apply-for-job . To discuss adjustment requirements, please contact the NAB Careers team via nab.careers@nab.com.au (please reference job number) or visit our Careers page through the link above for other contact options.

Join NAB

If you think this role is the right fit for you, we would love to hear from you. Please note candidate screening and interviews may be conducted prior to the closing date of the job advert. Unsolicited CVs from agencies will not be accepted."
44,"- Finance Analyst - Broad role, supportive culture
- $95-115k + super
- Inner Suburbs, diverse portfolio of business'The Company
An exciting opportunity has arisen for a motivated accounting professional to join a growing and dynamic enterprise dedicated to its core values. This organization prioritizes Conservation, Green Technology, Sustainability, and Environmental Clean-up, making it an ideal employer for those who want their work to align with meaningful and impactful causes. At this company, your contributions will directly support initiatives that strive to create a better future for the planet.This is a newly established role within a business that is rapidly expanding and ambitious about achieving significant growth in the short term. Joining this team means working closely with passionate founders, senior leaders, and executives committed to your professional development. This role not only promises a chance to thrive within a fast-paced organisation but also allows you to work in a values-driven environment that genuinely contributes to a sustainable world. Why Join Us?
If you've been looking for a role that's more than just a job, this opportunity stands out. At this company:
- Core Values with a Purpose: You'll be part of an organisation whose foundation is built upon environmental stewardship and innovation, meaning your expertise will directly contribute to initiatives making the world a better place.
- Work Closely with Leaders: Collaboration will happen daily with visionary founders and senior management, offering unparalleled insight into leadership and strategic growth.
- Professional Growth Opportunities: Ambitions for short-term business growth ensure that your career trajectory will align with an expanding company focused on nurturing its employees.
- Be Part of Innovation: Surrounded by dynamic professionals and cutting-edge technology, you'll empower change and see the immediate impact of your contributions. The Role
Reporting to the Finance Manager, this role will be essential in driving financial insights and supporting business strategy through comprehensive financial analysis. Responsibilities include:
- Developing and maintaining dynamic financial models and dashboards for evaluating business and investment performance.
- Collaborating with senior management to deliver streamlined budget forecasts and timely analysis.
- Conducting Scenario Planning and ""what-if"" analyses, assessing the impact of financial and strategic decision-making.
- Preparing cash-flow forecasts and analysing operational decisions.
- Reviewing key data metrics to produce profitability analysis, including variance commentary for both forecasts and annual budgets.
- Submitting and reconciling monthly market forecasts, ensuring financial accuracy and timeliness.
- Supporting month-end and year-end closings, including reconciliations and general reporting.
- Liaising with local finance teams to ensure error-free forecast submissions and adherence to deadlines.
- Preparing key deliverables and completing ad hoc analysis projects as required. Your Profile
To excel in this role, you'll need:
- Full CA/CPA qualification with a minimum of 4 years' analytical or general accounting experience.
- Proven expertise in Excel and proficiency with data analysis tools to enable insightful reporting.
- Excellent interpersonal skills to partner effectively across diverse stakeholders and teams.
- An eagerness to learn, adapt quickly, and thrive in an ambitious, fast-paced environment. Apply Today
If you're ready to take your career to the next level, click the apply button to submit your resume. Join us in shaping a world where your work contributes to tangible, sustainable impact. Reference No. 06810-0013179815SG
By clicking 'apply', you give your express consent that Robert Half may use your personal information to process your job application and to contact you from time to time for future employment opportunities. For further information on how Robert Half processes your personal information and how to access and correct your information, please read the Robert Half privacy notice: https://www.roberthalf.com/au/en/privacy. Please do not submit any sensitive personal data to us in your resume (such as government ID numbers, ethnicity, gender, religion, marital status or trade union membership) as we do not collect your sensitive personal data at this time."
45,"Job Description

About the role:

You’ll collaborate with project teams, business analysts and engineers to understand and document business requirements. Your role will collaborate with the People First Bank business areas to assist with the deployment of Power BI within the organisation.

This role is offered as a 12 months fixed term contract with potential extension or permanency.

Key Responsibilities

-  Work with stakeholders to elicit, analyse, communicate and validate analytics and reporting requirements for Power BI. 
-  Facilitate workshops with business analysts to document business processes and requirements. 
-  Develop functional specifications for engineers. 
-  Assist in the development of Power BI semantic layer. 
-  Support the development and testing phases of data projects. 
-  Guide the business through the adoption of Power BI best practices. 
-  Design, build and development dashboards to meet business needs / requirements, ensuring that business needs are met. 

About You

You are outcomes focussed, have a curious mind-set and work collaboratively with the team and the business to support Power BI rollout.

Knowledge And Experience

-  Strong knowledge of SQL, data modelling and DAX. 
-  Proven experience in eliciting requirements and developing functional specifications. 
-  An understanding of financial services operating environment and products (desirable). 
-  Knowledge of DataBricks, C# scripting 
-  Extensive experience in enterprise Power BI environment. 

Why You’ll Love Working With Us

People First Bank – our new brand – says exactly what we’re all about: people. We're committed to supporting and growing our team and creating an outstanding work environment.

You’ll have access to financial and lifestyle benefits to support your success and individuality:

-  Flexibility and hybrid working arrangements. 
-  Enhance your salary with discounts on banking, health insurance, and shopping across Australia. 
-  Advance your career with training, study support, and project opportunities. 
-  Competitive leave benefits that empower employees to take time for themselves and loved ones. 
-  Wellbeing support with our Employee Assistance Program, wellbeing leave, mental health app, and mental health ambassadors’ program . 
-  Make a difference with paid volunteering, Workplace Giving, and diverse community initiatives. 
-  Be recognised for your contributions through our peer-driven recognition program. 

A bit about People First Bank:

In March 2023, People’s Choice and Heritage Bank merged to form Heritage and People’s Choice Limited - Australia's leading mutual bank. We are now on an exciting journey to bring together our products, services, and technology under a single brand - People First Bank.

We have over 700,000 members and 1,900 employees, with dual head offices in Adelaide and Toowoomba, an Australian-based contract centre and branches across five states.

With a vision ‘To deliver positive change through banking’, People First Bank serves members and contributes to the community, while offering an inclusive, flexible work environment. We’re big enough to make an impact; but agile enough to influence and do interesting work.

Apply Online Now

If this sounds like you, this could be the next step in your career. Click 'Apply' now and submit your application, including a cover letter and current resume by 7 th October 2025.

We are committed to diversity and inclusion and support candidate requests for adjustments to enable everyone to equitably participate in our selection process."
46,"BETTER BEGINS HERE

Crown Melbourne is a great place to visit – and an even better place to work. It’s a place where you can play your part in creating joyful experiences for our guests and team members. We value passion, creativity, and a drive for positive change. Here, you’ll be part of a supportive team, empowered to explore more, experience more, and grow professionally.

The Role

We have an exciting opportunity for an Analyst to join the Credit and Patron Banking team within the Cage department. This role is responsible for managing patron financial interactions across Crown’s Melbourne, Sydney, and Perth properties. The team oversees credit facilities, patron banking transactions, debt collection, and financial compliance, ensuring all activities align with regulatory obligations and internal policies. This role plays a key part in supporting operational integrity, financial crime prevention, and customer due diligence across the business.

Key Responsibilities

- Reconcile financial transactions and manage bank accounts across all Crown properties
- Coordinate and process outgoing financial transactions, including foreign currency exchanges, ensuring compliance with internal procedures and regulatory requirements
- Conduct credit application reviews, assess credit suitability, and maintain accurate patron credit profiles
- Prepare and deliver regular and ad-hoc reports (e.g. debt, banking, AML, regulatory) for internal and external stakeholders
- Maintain detailed records of patron gaming debts and oversee debt collection processes, including liaison with legal teams and external agencies
- Support internal and external audits by responding to audit-related requests concerning patron banking and credit activitiesAbout You

You’re detail-oriented, collaborative, and comfortable working in a fast-paced environment. You bring a strong service mindset and the ability to manage multiple priorities with confidence.

You’ll also bring:

- Previous experience in a similar role involving transaction handling, credit, and/or due diligence
- Intermediate to advanced skills in Microsoft Word and Excel
- Strong attention to detail and effective communication skills
- A team-focused approach and the ability to manage competing deadlines
- A degree in Accounting (preferred but not essential)
- Familiarity with AML/CTF rules and regulations

Additional Information

Applications Close: Monday 13th October

What you can expect from us

On top of exciting career possibilities, we offer better exposure to experiences and learning. To see our range of benefits and opportunities visit Crown Resorts Careers.

Our Crown Community celebrates uniqueness and embraces diversity. We welcome the creativity, insights and experiences from people of different race, age, religion, cultural background, gender, people with disability, people who identify as LGBTIQ+ and Aboriginal and Torres Strait Islander; people like you."
47,"At ASIC, you can be the change that ensures a fair, strong and efficient financial system for the benefit of all Australians. Contribute to delivering on ASIC's purpose, vision, and strategic priorities to help maintain the integrity of the financial system and protect consumers from harm.

ASIC is seeking an Analyst – Business Engagement & Enquiries to join the Digital Team. This role has a strong customer service focus combined with general troubleshooting skills and acts as a liaison point between business units, project teams, and IT to resolve customer issues.

- Sydney, Melbourne or Perth. Open to other locations
- $81,396 - $85,659 (depending on experience) + 15.4% superannuation
- 12-month Fixed Term Contract position
- Applications close at 11:59pm AEDT, Thursday 9 October 2025  

The team 

The Digital team supports business systems and processes that build excellence in regulatory operations.

The team provides the user-centred design service and manages the ongoing development of the key platform underpinning the regulatory workflows across ASIC – the ASIC CRM, ASIC Regulatory Portal, ASIC Search and related data and document repositories, as well as ASIC's key externally facing digital channels such as the corporate website.

The role

The purpose of the Analyst within the Digital team is to manage enquiries related to OneASIC Regulatory systems, providing expert troubleshooting support.

Responsibilities Will Include

- Act as liaison between business units, project teams, and IT to resolve customer issues
- Efficiently resolve or escalate issues with strong verbal communication
- Document technical issues and solutions clearly
- Manage external stakeholder interactions via the ASIC Regulatory Portal
- Support stakeholder training and update learning materials
- Drive process improvement and innovation
- Assist with system enhancements, new products, and releases
- Create clear, user-friendly release communications for non-technical audiences
- Build and maintain relationships with subject matter experts and stakeholders

About You

A successful applicant should possess many or all of the following: 

- Relevant degree or experience in customer and stakeholder engagement
- Strong stakeholder management and influencing skills
- Excellent communication and issue resolution abilities
- Skilled in multitasking and prioritising in fast-paced settings
- Understanding of business processes and user reviews
- Experience analysing database information and providing solutions
- Effective problem-solving and issue triage skills
- Team-oriented with strong collaboration experience
- Proficient in Microsoft Dynamics CRM, SharePoint, and similar systems
- Strong customer service and issue resolution skills
- Efficient task management with timely, quality outcomes

View the position description for more information or click ‘apply' to start your application. 

Applications close at 11:59pm AEDT, Thursday 9 October 2025 

About ASIC

ASIC's remit is one of the broadest of regulators across the world. ASIC regulates corporations, markets, financial services and consumer credit and monitors and promotes market integrity and consumer protection in the Australian financial system. Through our enforcement work, we hold to account those who contravene the law, working to achieve strong outcomes that address the greatest consumer and investor harms.

ASIC is committed to providing a diverse and inclusive workplace where the very best talent in Australia chooses to work. Indigenous Australians are encouraged to apply as well as applicants from all backgrounds and with different abilities.

We Offer a Range Of Employee Benefits Including

- Attractive superannuation
- Additional leave entitlements
- 50/50 hybrid work-from home model
- Flexible work arrangements
- Assistance for study and professional development

Click here to view ASIC's salary and benefits guide.

To read more about ASIC, you can visit our website or review our Corporate Plan.

To work with us, you need to be an Australian citizen and be prepared to complete an ASIC Suitability and Baseline Assessment."
48,"- Tackle diverse and challenging projects that directly influence business strategy and customer outcomes.
- Collaborate with a supportive, forward-thinking team that thrives on innovation.
- Expand your technical skillset while helping shape the future of data-driven decision-making.

Our people are customer obsessed. They prioritise the needs and satisfaction of the customer above all else.  Our mindset fosters innovation and creates strong, lasting customer relationships as we strive to be the most customer centric company in Australia and New Zealand.

As a Data Analyst, you’ll work closely with the Home Ownership Data Analytics team, who are doubling down on delivering exceptional customer and product outcomes.

Each day, you’ll go above and beyond to: 

- Design, prototype, visualise, test, and deploy end-to-end analytics solutions based on business needs.
- Deliver insights that create tangible value for our business partners and customers.
- Implement and validate minor changes to ensure data accuracy and integrity.
- Maintain and support data models, SQL ETLs, and Power BI dashboards.
- Partner with NAB’s Home Ownership business to drive platform excellence and customer success.

We’re looking for the best and brightest to deliver the best for our customers. You’ll need: 

- Demonstrated experience as a Data Analyst in complex business environments.
- Proficiency in data visualisation tools such as Power BI or Tableau.
- Strong SQL skills and experience working with data marts or cloud-based data platforms.
- Ability to analyse and present data in a clear, meaningful way.
- Strong communication skills, with the ability to explain complex concepts in a simple way. Proactivity, curiosity, and eagerness to learn.
- A degree in Business, Data Analytics, Computer Science, Statistics, Information Systems, or a related field.

A diverse and inclusive workplace works better for everyone

We know that our people make us who we are. That’s why we have built a culture of equity and respect - where everyone feels valued and appreciated for being their authentic selves. In partnership with our multiple Employee Resource Groups (ERGs), we continue to foster an inclusive environment, where all NAB colleagues’ unique backgrounds and identities are understood, respected and celebrated. We are committed to providing an environment where you can work your way.

For details on the recruitment process, and accessibility, or alternate methods to apply for this role, please visit https://www.nab.com.au/about-us/careers/apply-for-job . To discuss adjustment requirements, please contact the NAB Careers team via nab.careers@nab.com.au (please reference job number) or visit our Careers page through the link above for other contact options.

Join NAB

If you think this role is the right fit for you, we would love to hear from you. Please note candidate screening and interviews may be conducted prior to the closing date of the job advert. Unsolicited CVs from agencies will not be accepted."
